{-2.89418e-06,1.02111e-06} {-6.28619e-06,2.07124e-06} {-6.5046e-06,2.82244e-06} {-5.46775e-06,3.29671e-06} {-3.6832e-06,3.57817e-06} {-1.48294e-06,3.74423e-06} {9.42038e-07,3.8477e-06} {3.48984e-06,3.91946e-06} {6.10714e-06,3.97515e-06} {8.76269e-06,4.02069e-06} {1.14318e-05,4.05667e-06} {1.40885e-05,4.08131e-06} {1.67021e-05,4.09231e-06} {1.9238e-05,4.08783e-06} {2.16589e-05,4.06706e-06} {2.3927e-05,4.03024e-06} {2.60067e-05,3.97859e-06} {2.78658e-05,3.91404e-06} {2.94775e-05,3.83901e-06} {3.08211e-05,3.75622e-06} {3.18821e-05,3.6684e-06} {3.26527e-05,3.57825e-06} {3.31312e-05,3.48825e-06} {3.33216e-05,3.4007e-06} {3.32333e-05,3.31749e-06} {3.28801e-05,3.24023e-06} {3.22794e-05,3.17028e-06} {3.14514e-05,3.10843e-06} {3.04189e-05,3.05523e-06} {2.92053e-05,3.01087e-06} {2.78352e-05,2.97514e-06} {2.63325e-05,2.94761e-06} {2.47205e-05,2.92771e-06} {2.30217e-05,2.91464e-06} {2.12576e-05,2.90786e-06} {1.94494e-05,2.90722e-06} {1.76189e-05,2.91322e-06} {1.57901e-05,2.92734e-06} {1.39918e-05,2.95213e-06} {1.22591e-05,2.9914e-06} {1.06353e-05,3.04965e-06} {9.17249e-06,3.13111e-06} {7.92842e-06,3.2377e-06} {6.95776e-06,3.36562e-06} {6.29387e-06,3.49951e-06} {5.91607e-06,3.6039e-06} {5.69512e-06,3.61154e-06} {5.31797e-06,3.41457e-06} {4.22983e-06,2.88738e-06} {1.71071e-06,1.9914e-06} 
{-4.23862e-07,4.91863e-05} {2.11561e-06,9.35304e-05} {9.97436e-06,0.000127572} {2.11126e-05,0.000151464} {3.44866e-05,0.000167516} {4.93165e-05,0.000178088} {6.50609e-05,0.000184961} {8.13411e-05,0.000189297} {9.78748e-05,0.00019175} {0.000114431,0.00019261} {0.0001308,0.000191934} {0.000146779,0.00018966} {0.000162165,0.000185691} {0.00017675,0.000179959} {0.000190333,0.000172453} {0.000202716,0.000163235} {0.00021372,0.000152439} {0.000223184,0.000140264} {0.000230976,0.000126956} {0.00023699,0.000112797} {0.000241157,9.80864e-05} {0.000243439,8.31302e-05} {0.000243835,6.82269e-05} {0.000242374,5.36587e-05} {0.000239117,3.96837e-05} {0.000234151,2.65302e-05} {0.000227591,1.43919e-05} {0.000219569,3.42609e-06} {0.000210235,-6.24753e-06} {0.000199751,-1.45461e-05} {0.000188288,-2.14204e-05} {0.00017602,-2.68503e-05} {0.000163126,-3.08364e-05} {0.00014978,-3.33912e-05} {0.000136158,-3.45267e-05} {0.000122433,-3.42421e-05} {0.000108774,-3.25126e-05} {9.53551e-05,-2.9282e-05} {8.23492e-05,-2.44644e-05} {6.99346e-05,-1.79588e-05} {5.8292e-05,-9.68402e-06} {4.76016e-05,3.60627e-07} {3.8032e-05,1.2006e-05} {2.97232e-05,2.47934e-05} {2.27592e-05,3.78337e-05} {1.71291e-05,4.96567e-05} {1.2679e-05,5.80788e-05} {9.06322e-06,6.02157e-05} {5.72983e-06,5.31784e-05} {2.02674e-06,3.64549e-05} 
{-2.91263e-07,5.42527e-05} {2.39091e-06,0.000103296} {1.02365e-05,0.000140992} {2.13124e-05,0.000167503} {3.46032e-05,0.000185354} {4.93443e-05,0.000197126} {6.49998e-05,0.000204763} {8.11901e-05,0.000209541} {9.76296e-05,0.000212184} {0.000114083,0.000213014} {0.000130339,0.000212104} {0.000146192,0.000209394} {0.00016144,0.000204788} {0.000175878,0.000198218} {0.000189309,0.000189679} {0.00020154,0.000179244} {0.000212398,0.000167065} {0.000221727,0.000153363} {0.0002294,0.000138414} {0.000235317,0.000122529} {0.000239412,0.000106041} {0.000241651,8.92888e-05} {0.000242034,7.26037e-05} {0.000240591,5.62989e-05} {0.000237384,4.06609e-05} {0.000232498,2.59432e-05} {0.000226047,1.23614e-05} {0.00021816,9.07667e-08} {0.000208985,-1.07353e-05} {0.00019868,-2.00239e-05} {0.000187412,-2.77199e-05} {0.000175352,-3.38001e-05} {0.000162673,-3.82653e-05} {0.000149546,-4.11293e-05} {0.000136142,-4.24065e-05} {0.000122628,-4.20982e-05} {0.000109169,-4.01804e-05} {9.59328e-05,-3.65961e-05} {8.30852e-05,-3.12567e-05} {7.07972e-05,-2.40581e-05} {5.92421e-05,-1.49184e-05} {4.85917e-05,-3.84225e-06} {3.9008e-05,8.98228e-06} {3.06264e-05,2.30568e-05} {2.35308e-05,3.74223e-05} {1.77183e-05,5.04998e-05} {1.30548e-05,5.99527e-05} {9.23031e-06,6.27045e-05} {5.74547e-06,5.56844e-05} {2.00776e-06,3.83616e-05} 
{-1.63936e-07,5.91409e-05} {2.61668e-06,0.000112759} {1.03474e-05,0.000154022} {2.12171e-05,0.000183103} {3.42495e-05,0.000202729} {4.87046e-05,0.000215687} {6.40591e-05,0.000224082} {7.99388e-05,0.000229296} {9.60594e-05,0.000232119} {0.000112186,0.000232911} {0.000128108,0.000231756} {0.000143622,0.000228602} {0.000158528,0.000223354} {0.000172629,0.000215945} {0.000185731,0.000206377} {0.000197651,0.000194737} {0.000208221,0.000181193} {0.000217294,0.000165989} {0.000224749,0.000149428} {0.000230492,0.000131852} {0.000234461,0.000113625} {0.000236626,9.51183e-05} {0.000236988,7.66943e-05} {0.000235578,5.86959e-05} {0.000232457,4.14371e-05} {0.00022771,2.51956e-05} {0.000221445,1.02081e-05} {0.000213789,-3.33302e-06} {0.000204885,-1.52811e-05} {0.000194885,-2.5534e-05} {0.00018395,-3.40308e-05} {0.000172247,-4.07456e-05} {0.00015994,-4.56793e-05} {0.000147196,-4.88475e-05} {0.000134177,-5.02672e-05} {0.000121044,-4.99422e-05} {0.000107956,-4.78496e-05} {9.50698e-05,-4.39322e-05} {8.25456e-05,-3.80993e-05} {7.05449e-05,-3.02442e-05} {5.92316e-05,-2.02842e-05} {4.87689e-05,-8.22943e-06} {3.93105e-05,5.71521e-06} {3.09864e-05,2.10152e-05} {2.38796e-05,3.66473e-05} {1.79943e-05,5.09331e-05} {1.32149e-05,6.13956e-05} {9.26519e-06,6.47818e-05} {5.6958e-06,5.78534e-05} {1.97049e-06,4.00626e-05} 
{-4.17526e-08,6.38051e-05} {2.795e-06,0.000121818} {1.03134e-05,0.000166519} {2.08387e-05,0.000198087} {3.34434e-05,0.000219436} {4.74208e-05,0.000233549} {6.22676e-05,0.000242683} {7.76205e-05,0.000248321} {9.32019e-05,0.000251314} {0.000108781,0.000252059} {0.000124152,0.000250656} {0.000139116,0.000247058} {0.000153481,0.000241173} {0.000167056,0.000232938} {0.000179656,0.000222363} {0.000191108,0.000209546} {0.000201253,0.000194673} {0.000209952,0.000178013} {0.000217091,0.000159892} {0.000222584,0.000140682} {0.000226374,0.000120778} {0.000228433,0.00010058} {0.000228765,8.04826e-05} {0.000227401,6.08555e-05} {0.0002244,4.2039e-05} {0.000219845,2.43342e-05} {0.000213839,7.99725e-06} {0.000206503,-6.76315e-06} {0.000197975,-1.97879e-05} {0.000188399,-3.0966e-05} {0.00017793,-4.02311e-05} {0.000166724,-4.75554e-05} {0.00015494,-5.29398e-05} {0.000142734,-5.64019e-05} {0.000130261,-5.79617e-05} {0.000117673,-5.76253e-05} {0.000105118,-5.53716e-05} {9.2747e-05,-5.11434e-05} {8.0708e-05,-4.48483e-05} {6.91532e-05,-3.63777e-05} {5.8236e-05,-2.56482e-05} {4.81094e-05,-1.26744e-05} {3.8918e-05,2.32341e-06} {3.07852e-05,1.8778e-05} {2.37921e-05,3.56081e-05} {1.79483e-05,5.10446e-05} {1.31548e-05,6.24822e-05} {9.16687e-06,6.65066e-05} {5.58157e-06,5.97263e-05} {1.9156e-06,4.15768e-05} 
{7.54404e-08,6.82018e-05} {2.92795e-06,0.00013038} {1.01413e-05,0.000178347} {2.01904e-05,0.000212283} {3.22057e-05,0.000235278} {4.5522e-05,0.000250499} {5.96624e-05,0.00026034} {7.42807e-05,0.000266381} {8.91105e-05,0.000269533} {0.00010393,0.000270225} {0.00011854,0.000268575} {0.000132753,0.000264541} {0.000146383,0.000258036} {0.000159251,0.000249002} {0.000171183,0.000237455} {0.000182016,0.000223508} {0.000191603,0.000207363} {0.000199814,0.00018931} {0.000206544,0.000169702} {0.000211714,0.000148937} {0.000215273,0.000127439} {0.000217196,0.000105637} {0.000217489,8.39521e-05} {0.000216183,6.27822e-05} {0.000213333,4.24914e-05} {0.000209019,2.34024e-05} {0.000203339,5.78987e-06} {0.000196408,-1.01224e-05} {0.000188354,-2.41638e-05} {0.000179315,-3.62152e-05} {0.000169435,-4.62055e-05} {0.00015886,-5.4105e-05} {0.00014774,-5.9915e-05} {0.00013622,-6.36554e-05} {0.000124445,-6.53487e-05} {0.000112556,-6.50042e-05} {0.000100693,-6.26024e-05} {8.89934e-05,-5.80865e-05} {7.75958e-05,-5.13629e-05} {6.66405e-05,-4.23212e-05} {5.62696e-05,-3.08773e-05} {4.66247e-05,-1.70499e-05} {3.78401e-05,-1.07264e-06} {3.00313e-05,1.64576e-05} {2.32759e-05,3.44073e-05} {1.75873e-05,5.09254e-05} {1.28809e-05,6.32901e-05} {8.94042e-06,6.79402e-05} {5.4062e-06,6.13444e-05} {1.84428e-06,4.29226e-05} 
{1.87783e-07,7.22905e-05} {3.018e-06,0.000138357} {9.8393e-06,0.000189376} {1.92883e-05,0.00022553} {3.05622e-05,0.000250071} {4.30445e-05,0.000266332} {5.62914e-05,0.000276838} {6.99788e-05,0.000283255} {8.38562e-05,0.000286552} {9.77147e-05,0.000287187} {0.000111367,0.000285295} {0.000124636,0.000280842} {0.000137349,0.000273745} {0.00014934,0.00026395} {0.000160447,0.000251484} {0.00017052,0.000236468} {0.000179423,0.000219126} {0.00018704,0.000199765} {0.000193274,0.000178762} {0.000198053,0.000156541} {0.000201333,0.000133553} {0.000203092,0.000110252} {0.000203337,8.70876e-05} {0.000202099,6.44803e-05} {0.000199429,4.28173e-05} {0.000195404,2.24409e-05} {0.000190113,3.64315e-06} {0.000183665,-1.33386e-05} {0.000176178,-2.83231e-05} {0.00016778,-4.1184e-05} {0.000158603,-5.1846e-05} {0.000148783,-6.02776e-05} {0.000138458,-6.64811e-05} {0.000127762,-7.04784e-05} {0.000116828,-7.22951e-05} {0.000105785,-7.19431e-05} {9.47604e-05,-6.94051e-05} {8.38805e-05,-6.46247e-05} {7.32717e-05,-5.75077e-05} {6.30617e-05,-4.79418e-05} {5.338e-05,-3.58425e-05} {4.43556e-05,-2.12317e-05} {3.61114e-05,-4.35525e-06} {2.87537e-05,1.4164e-05} {2.23549e-05,3.31457e-05} {1.69303e-05,5.06648e-05} {1.24074e-05,6.38948e-05} {8.59548e-06,6.91416e-05} {5.17489e-06,6.27473e-05} {1.75806e-06,4.41168e-05} 
{2.95601e-07,7.60331e-05} {3.06836e-06,0.000145665} {9.41733e-06,0.000199486} {1.81521e-05,0.000237678} {2.85442e-05,0.000263641} {4.00329e-05,0.00028086} {5.22132e-05,0.000291975} {6.47882e-05,0.000298736} {7.75276e-05,0.00030216} {9.02391e-05,0.000302736} {0.00010275,0.000300613} {0.000114899,0.000295765} {0.000126527,0.000288113} {0.000137483,0.000277609} {0.00014762,0.000264288} {0.000156803,0.000248285} {0.000164909,0.000229836} {0.000171834,0.000209269} {0.000177492,0.000186983} {0.000181819,0.000163424} {0.000184776,0.000139068} {0.000186346,0.000114395} {0.000186537,8.98755e-05} {0.000185377,6.59542e-05} {0.000182915,4.30382e-05} {0.000179221,2.14878e-05} {0.000174378,1.61017e-06} {0.000168485,-1.63448e-05} {0.000161649,-3.21864e-05} {0.000153987,-4.57818e-05} {0.00014562,-5.70522e-05} {0.00013667,-6.5965e-05} {0.000127261,-7.25231e-05} {0.000117515,-7.67509e-05} {0.000107552,-7.86768e-05} {9.74885e-05,-7.83156e-05} {8.74384e-05,-7.5652e-05} {7.75148e-05,-7.06304e-05} {6.78309e-05,-6.3156e-05} {5.8501e-05,-5.3115e-05} {4.96408e-05,-4.04223e-05} {4.13657e-05,-2.5103e-05} {3.37859e-05,-7.4131e-06} {2.69971e-05,1.20013e-05} {2.1065e-05,3.19182e-05} {1.60047e-05,5.03469e-05} {1.17538e-05,6.4367e-05} {8.1444e-06,7.01656e-05} {4.89391e-06,6.3971e-05} {1.65873e-06,4.51741e-05} 
{3.99323e-07,7.93955e-05} {3.08297e-06,0.00015223} {8.88729e-06,0.000208567} {1.68047e-05,0.000248591} {2.61885e-05,0.000275831} {3.65396e-05,0.000293908} {4.7497e-05,0.000305569} {5.87957e-05,0.000312633} {7.02294e-05,0.000316166} {8.16261e-05,0.000316682} {9.28314e-05,0.000314343} {0.0001037,0.000309131} {0.000114092,0.000300971} {0.000123871,0.000289822} {0.000132909,0.000275725} {0.000141085,0.000258827} {0.000148292,0.000239378} {0.000154439,0.000217724} {0.000159449,0.000194282} {0.00016327,0.000169522} {0.000165867,0.000143939} {0.000167227,0.000118036} {0.000167358,9.23043e-05} {0.000166287,6.72089e-05} {0.000164059,4.31747e-05} {0.000160736,2.05781e-05} {0.000156395,-2.60264e-07} {0.000151122,-1.90796e-05} {0.000145014,-3.56811e-05} {0.000138174,-4.99263e-05} {0.000130711,-6.17334e-05} {0.000122733,-7.10689e-05} {0.000114349,-7.7937e-05} {0.000105668,-8.2364e-05} {9.67934e-05,-8.43815e-05} {8.78292e-05,-8.40069e-05} {7.88753e-05,-8.12271e-05} {7.00306e-05,-7.59872e-05} {6.1394e-05,-6.81921e-05} {5.30653e-05,-5.77268e-05} {4.51455e-05,-4.45059e-05} {3.77356e-05,-2.85567e-05} {3.09316e-05,-1.01446e-05} {2.48173e-05,1.00642e-05} {1.94502e-05,3.08111e-05} {1.48438e-05,5.00475e-05} {1.09431e-05,6.477e-05} {7.60124e-06,7.10606e-05} {4.57014e-06,6.50468e-05} {1.54818e-06,4.61068e-05} 
{4.99557e-07,8.23471e-05} {3.06643e-06,0.000157985} {8.2627e-06,0.000216523} {1.52725e-05,0.000258146} {2.35367e-05,0.000286499} {3.26237e-05,0.000305322} {4.22211e-05,0.000317455} {5.20995e-05,0.000324779} {6.20805e-05,0.0003284} {7.2015e-05,0.000328855} {8.17697e-05,0.00032632} {9.12189e-05,0.000320781} {0.000100242,0.000312169} {0.000108721,0.000300448} {0.000116547,0.000285666} {0.000123615,0.000267979} {0.000129835,0.000247652} {0.000135128,0.000225044} {0.000139432,0.000200591} {0.0001427,0.00017478} {0.000144906,0.000148126} {0.000146038,0.000121151} {0.000146107,9.43652e-05} {0.000145135,6.82499e-05} {0.000143165,4.32462e-05} {0.00014025,1.9744e-05} {0.000136457,-1.92412e-06} {0.000131863,-2.14883e-05} {0.000126551,-3.87426e-05} {0.00012061,-5.35442e-05} {0.000114135,-6.58087e-05} {0.000107218,-7.55023e-05} {9.99546e-05,-8.26304e-05} {9.24364e-05,-8.72215e-05} {8.47537e-05,-8.93098e-05} {7.69939e-05,-8.89157e-05} {6.92425e-05,-8.60279e-05} {6.15834e-05,-8.05925e-05} {5.41005e-05,-7.25141e-05} {4.68783e-05,-6.16771e-05} {4.00023e-05,-4.79954e-05} {3.35577e-05,-3.14988e-05} {2.7626e-05,-1.24605e-05} {2.22774e-05,8.43585e-06} {1.756e-05,2.98998e-05} {1.34839e-05,4.98324e-05} {1.00003e-05,6.51582e-05} {6.98092e-06,7.18678e-05} {4.2106e-06,6.6001e-05} {1.42827e-06,4.69246e-05} 
{5.96976e-07,8.48616e-05} {3.02389e-06,0.000162872} {7.55848e-06,0.000223269} {1.35841e-05,0.000266238} {2.06345e-05,0.000295524} {2.83501e-05,0.00031497} {3.64712e-05,0.000327492} {4.48074e-05,0.000335027} {5.3211e-05,0.000338714} {6.1559e-05,0.00033911} {6.97409e-05,0.000336401} {7.76529e-05,0.000330579} {8.51953e-05,0.000321579} {9.22715e-05,0.000309368} {9.87902e-05,0.000294002} {0.000104667,0.000275645} {0.000109826,0.000254572} {0.000114205,0.000231157} {0.000117752,0.00020585} {0.000120431,0.000179152} {0.00012222,0.000151597} {0.000123113,0.000123722} {0.000123118,9.60519e-05} {0.000122258,6.90833e-05} {0.000120567,4.32702e-05} {0.000118092,1.90143e-05} {0.00011489,-3.34263e-06} {0.000111024,-2.35228e-05} {0.000106566,-4.13148e-05} {0.00010159,-5.65721e-05} {9.61729e-05,-6.92086e-05} {9.03942e-05,-7.91905e-05} {8.43312e-05,-8.65243e-05} {7.80601e-05,-9.12409e-05} {7.16549e-05,-9.3377e-05} {6.51875e-05,-9.29555e-05} {5.87274e-05,-8.99671e-05} {5.23431e-05,-8.43589e-05} {4.61027e-05,-7.60355e-05} {4.00747e-05,-6.48807e-05} {3.43284e-05,-5.08083e-05} {2.89326e-05,-3.38501e-05} {2.39528e-05,-1.42858e-05} {1.94451e-05,7.18558e-06} {1.54469e-05,2.92467e-05} {1.19636e-05,4.97557e-05} {8.95116e-06,6.5576e-05} {6.29865e-06,7.26204e-05} {3.82238e-06,6.68541e-05} {1.30083e-06,4.76348e-05} 
{6.92336e-07,8.69172e-05} {2.96082e-06,0.000166843} {6.7905e-06,0.000228734} {1.17701e-05,0.000272779} {1.75305e-05,0.000302805} {2.3788e-05,0.000322739} {3.03388e-05,0.000335562} {3.70343e-05,0.000343256} {4.37602e-05,0.000346986} {5.04213e-05,0.000347325} {5.69322e-05,0.000344468} {6.32128e-05,0.000338411} {6.91856e-05,0.000329093} {7.47759e-05,0.000316484} {7.99129e-05,0.000300643} {8.45313e-05,0.000281744} {8.85731e-05,0.00026007} {9.19895e-05,0.000236005} {9.4742e-05,0.000210011} {9.68034e-05,0.000182603} {9.81586e-05,0.000154327} {9.88041e-05,0.000125734} {9.87481e-05,9.73608e-05} {9.80097e-05,6.97157e-05} {9.6618e-05,4.32631e-05} {9.4611e-05,1.84138e-05} {9.20344e-05,-4.48272e-06} {8.89397e-05,-2.51428e-05} {8.53833e-05,-4.33507e-05} {8.14247e-05,-5.89574e-05} {7.71249e-05,-7.18756e-05} {7.25457e-05,-8.20719e-05} {6.77479e-05,-8.95541e-05} {6.27909e-05,-9.43551e-05} {5.77321e-05,-9.65142e-05} {5.26268e-05,-9.60564e-05} {4.75285e-05,-9.29743e-05} {4.24895e-05,-8.72162e-05} {3.75615e-05,-7.86868e-05} {3.27966e-05,-6.72697e-05} {2.82471e-05,-5.28786e-05} {2.39649e-05,-3.55472e-05} {1.99989e-05,-1.55612e-05} {1.63901e-05,6.36805e-06} {1.31646e-05,2.89007e-05} {1.03219e-05,4.98595e-05} {7.82173e-06,6.60574e-05} {5.56956e-06,7.33434e-05} {3.4123e-06,6.76215e-05} {1.16757e-06,4.82423e-05} 
{7.86406e-07,8.84968e-05} {2.88293e-06,0.00016986} {5.97527e-06,0.000232864} {9.86224e-06,0.0002777} {1.42752e-05,0.000308262} {1.90094e-05,0.000328542} {2.39193e-05,0.000341573} {2.89003e-05,0.00034937} {3.38732e-05,0.000353119} {3.87725e-05,0.000353406} {4.35395e-05,0.00035043} {4.81186e-05,0.000344191} {5.24562e-05,0.000334629} {5.65e-05,0.000321718} {6.02007e-05,0.000305521} {6.35128e-05,0.000286215} {6.63959e-05,0.000264091} {6.88166e-05,0.000239542} {7.07488e-05,0.000213039} {7.21748e-05,0.000185106} {7.30854e-05,0.000156299} {7.34802e-05,0.000127178} {7.33669e-05,9.82909e-05} {7.27612e-05,7.01537e-05} {7.16858e-05,4.32387e-05} {7.01698e-05,1.79633e-05} {6.82473e-05,-5.31749e-06} {6.59567e-05,-2.63159e-05} {6.33396e-05,-4.48133e-05} {6.04394e-05,-6.06589e-05} {5.73005e-05,-7.37652e-05} {5.39672e-05,-8.40992e-05} {5.04829e-05,-9.16701e-05} {4.68897e-05,-9.65129e-05} {4.32279e-05,-9.8669e-05} {3.95358e-05,-9.81655e-05} {3.58505e-05,-9.49968e-05} {3.22075e-05,-8.9112e-05} {2.8642e-05,-8.04164e-05} {2.51892e-05,-6.87937e-05} {2.18842e-05,-5.41579e-05} {1.87612e-05,-3.65444e-05} {1.58523e-05,-1.62437e-05} {1.3183e-05,6.02247e-06} {1.0767e-05,2.88965e-05} {8.59764e-06,5.01732e-05} {6.63767e-06,6.66258e-05} {4.80841e-06,7.40535e-05} {2.98701e-06,6.83128e-05} {1.03019e-06,4.87498e-05} 
{8.79964e-07,8.95878e-05} {2.79599e-06,0.000171896} {5.1296e-06,0.000235619} {7.89303e-06,0.000280952} {1.09205e-05,0.000311837} {1.40881e-05,0.000332318} {1.73102e-05,0.000345459} {2.05281e-05,0.000353302} {2.36987e-05,0.000357046} {2.67874e-05,0.000357284} {2.9763e-05,0.00035422} {3.25958e-05,0.000347855} {3.52563e-05,0.000338129} {3.77156e-05,0.000325018} {3.99462e-05,0.000308587} {4.19228e-05,0.000289016} {4.36231e-05,0.000266601} {4.5029e-05,0.000241741} {4.6127e-05,0.000214911} {4.69089e-05,0.000186644} {4.73714e-05,0.000157501} {4.75168e-05,0.00012805} {4.73523e-05,9.88439e-05} {4.68896e-05,7.04044e-05} {4.61448e-05,4.3209e-05} {4.51376e-05,1.76792e-05} {4.38904e-05,-5.82661e-06} {4.24279e-05,-2.70183e-05} {4.07763e-05,-4.56757e-05} {3.89628e-05,-6.16474e-05} {3.70143e-05,-7.4846e-05} {3.49576e-05,-8.52395e-05} {3.28183e-05,-9.28384e-05} {3.06207e-05,-9.76797e-05} {2.83877e-05,-9.98066e-05} {2.61406e-05,-9.9248e-05} {2.38994e-05,-9.59999e-05} {2.16832e-05,-9.00124e-05} {1.95101e-05,-8.11914e-05} {1.73983e-05,-6.9421e-05} {1.53653e-05,-5.46159e-05} {1.34279e-05,-3.68131e-05} {1.16006e-05,-1.63072e-05} {9.89334e-06,6.1723e-06} {8.30711e-06,2.92543e-05} {6.8288e-06,5.07133e-05} {5.42394e-06,6.72939e-05} {4.02949e-06,7.47592e-05} {2.55291e-06,6.89324e-05} {8.90283e-07,4.91577e-05} 
{9.73758e-07,9.01826e-05} {2.70573e-06,0.000172934} {4.27026e-06,0.000236973} {5.89497e-06,0.000282503} {7.51821e-06,0.000313496} {9.09797e-06,0.000334026} {1.06098e-05,0.00034718} {1.20413e-05,0.000355011} {1.33864e-05,0.000358726} {1.4642e-05,0.000358922} {1.58049e-05,0.000355802} {1.68716e-05,0.000349369} {1.78373e-05,0.000339561} {1.86967e-05,0.000326354} {1.94443e-05,0.000309815} {2.00752e-05,0.000290124} {2.05852e-05,0.000267581} {2.09716e-05,0.000242585} {2.12336e-05,0.000215617} {2.1372e-05,0.000187211} {2.13897e-05,0.000157932} {2.12913e-05,0.000128351} {2.10832e-05,9.90232e-05} {2.07733e-05,7.04743e-05} {2.03704e-05,4.31832e-05} {1.98846e-05,1.7573e-05} {1.93262e-05,-5.99661e-06} {1.87062e-05,-2.72349e-05} {1.80351e-05,-4.59216e-05} {1.73232e-05,-6.19056e-05} {1.65802e-05,-7.51003e-05} {1.58149e-05,-8.54748e-05} {1.50348e-05,-9.30413e-05} {1.42466e-05,-9.78379e-05} {1.34555e-05,-9.99098e-05} {1.26656e-05,-9.92874e-05} {1.18799e-05,-9.59677e-05} {1.11008e-05,-8.99023e-05} {1.03297e-05,-8.09976e-05} {9.56739e-06,-6.91385e-05} {8.81417e-06,-5.42406e-05} {8.0691e-06,-3.63426e-05} {7.3294e-06,-1.57423e-05} {6.589e-06,6.82532e-06} {5.83651e-06,2.99804e-05} {5.05224e-06,5.14843e-05} {4.20458e-06,6.80641e-05} {3.24649e-06,7.54614e-05} {2.11609e-06,6.94799e-05} {7.49348e-07,4.94648e-05} 
{1.0685e-06,9.02782e-05} {2.61774e-06,0.000172968} {3.41377e-06,0.000236918} {3.90013e-06,0.000282342} {4.11961e-06,0.000313226} {4.11242e-06,0.000333655} {3.91533e-06,0.000346722} {3.5624e-06,0.000354483} {3.08487e-06,0.000358146} {2.51095e-06,0.000358306} {1.86576e-06,0.000355165} {1.17169e-06,0.000348722} {4.48824e-07,0.000338916} {-2.84679e-07,0.00032572} {-1.01225e-06,0.0003092} {-1.71869e-06,0.000289538} {-2.39004e-06,0.000267029} {-3.01361e-06,0.000242076} {-3.57798e-06,0.000215157} {-4.07309e-06,0.000186809} {-4.49038e-06,0.000157594} {-4.82286e-06,0.000128084} {-5.0652e-06,9.88348e-05} {-5.2138e-06,7.03697e-05} {-5.26684e-06,4.31678e-05} {-5.22424e-06,1.76514e-05} {-5.0877e-06,-5.82105e-06} {-4.8606e-06,-2.69597e-05} {-4.54792e-06,-4.55455e-05} {-4.15618e-06,-6.14288e-05} {-3.69329e-06,-7.45242e-05} {-3.16841e-06,-8.48024e-05} {-2.59189e-06,-9.22767e-05} {-1.97503e-06,-9.69868e-05} {-1.33006e-06,-9.8979e-05} {-6.69959e-07,-9.8285e-05} {-8.46894e-09,-9.4903e-05} {6.39981e-07,-8.87853e-05} {1.26022e-06,-7.98396e-05} {1.83621e-06,-6.79516e-05} {2.35085e-06,-5.30381e-05} {2.78581e-06,-3.51397e-05} {3.1212e-06,-1.45563e-05} {3.33535e-06,7.97396e-06} {3.40462e-06,3.10669e-05} {3.30312e-06,5.24784e-05} {3.00256e-06,6.89289e-05} {2.47242e-06,7.61533e-05} {1.6823e-06,6.99501e-05} {6.08825e-07,4.9668e-05} 
{1.16481e-06,8.98762e-05} {2.53732e-06,0.000172001} {2.57607e-06,0.00023546} {1.9397e-06,0.000280477} {7.74714e-07,0.000311037} {-7.97093e-07,0.000331215} {-2.67826e-06,0.000344098} {-4.78874e-06,0.000351732} {-7.06064e-06,0.000355321} {-9.43474e-06,0.000355452} {-1.18583e-05,0.000352324} {-1.42831e-05,0.000345932} {-1.66649e-05,0.000336211} {-1.89624e-05,0.000323133} {-2.11372e-05,0.00030676} {-2.31542e-05,0.000287271} {-2.49819e-05,0.000264962} {-2.65924e-05,0.000240228} {-2.79621e-05,0.000213547} {-2.90721e-05,0.00018545} {-2.99083e-05,0.000156499} {-3.04615e-05,0.00012726} {-3.07276e-05,9.8286e-05} {-3.07074e-05,7.00962e-05} {-3.04061e-05,4.31665e-05} {-2.98338e-05,1.79157e-05} {-2.90042e-05,-5.30063e-06} {-2.79349e-05,-2.61956e-05} {-2.66466e-05,-4.45528e-05} {-2.51623e-05,-6.02245e-05} {-2.35076e-05,-7.31276e-05} {-2.17094e-05,-8.32341e-05} {-1.97958e-05,-9.05587e-05} {-1.77958e-05,-9.51423e-05} {-1.57388e-05,-9.7032e-05} {-1.36547e-05,-9.62604e-05} {-1.15738e-05,-9.28264e-05} {-9.52678e-06,-8.66833e-05} {-7.54518e-06,-7.774e-05} {-5.6616e-06,-6.58835e-05} {-3.90997e-06,-5.10321e-05} {-2.32569e-06,-3.32279e-05} {-9.45265e-07,-1.27722e-05} {1.9453e-07,9.59595e-06} {1.05836e-06,3.24927e-05} {1.61478e-06,5.36763e-05} {1.83956e-06,6.98717e-05} {1.7196e-06,7.68214e-05} {1.25698e-06,7.03333e-05} {4.70056e-07,4.97626e-05} 
